@id	addr:street	addr:housenumber	@lat	@lon
2507105011			55.6568122	37.4718886
2507111114			55.6591181	37.4726101
2507111120			55.6597393	37.4724028
2607580276			55.6562182	37.4789395
2630969827			55.6582714	37.4715434
2661414309			55.6554284	37.4754718
2661414310			55.6554499	37.4754772
2661414311			55.6556026	37.4755174
2696392736			55.6554710	37.4751370
2696392738			55.6557831	37.4717110
2696460251			55.6560696	37.4717511
2696460252			55.6560936	37.4714727
2696460259			55.6576558	37.4717424
2698105570			55.6595536	37.4718368
2698105575			55.6602529	37.4720551
2714549536			55.6554739	37.4754837
2714549539			55.6558231	37.4716747
2714549542			55.6559284	37.4717073
2915996172			55.6596298	37.4786822
2915996175			55.6555474	37.4778058
2915996176			55.6575064	37.4783940
3090757157			55.6582712	37.4715863
3090757159			55.6589607	37.4715894
3090757160			55.6589454	37.4717613
3090757161			55.6587787	37.4717145
3090757163			55.6589229	37.4714731
3090757164			55.6589137	37.4715762
3613493174			55.6554779	37.4785980
3613493176			55.6555798	37.4785332
3613493177			55.6555838	37.4788109
3613493179			55.6555941	37.4780443
3613493180			55.6555961	37.4786598
3613493181			55.6555974	37.4786932
3613493182			55.6556042	37.4783790
3613493183			55.6556093	37.4780082
3613493185			55.6556481	37.4788342
3613493186			55.6556617	37.4787165
3613493188			55.6557229	37.4788955
3613493189			55.6557237	37.4783378
3613493190			55.6557445	37.4787353
3613493191			55.6557569	37.4785946
3613493192			55.6557689	37.4789150
3613493393			55.6557905	37.4787548
3613493394			55.6557976	37.4717009
3613493395			55.6558073	37.4785813
3613493396			55.6558830	37.4783711
3613493397			55.6559668	37.4787617
3613493398			55.6560424	37.4785515
3613493399			55.6561422	37.4788472
3613493401			55.6562226	37.4786314
3613493408			55.6564262	37.4788700
3613493409			55.6564920	37.4786384
3613493410			55.6564942	37.4787135
3613493411			55.6565276	37.4785877
3613493412			55.6565348	37.4786681
3613493413			55.6566192	37.4783458
3613493414			55.6566339	37.4781880
3613493415			55.6566726	37.4781436
3613493418			55.6568556	37.4783668
3613493420			55.6568677	37.4782022
3613493421			55.6569405	37.4783839
3613493422			55.6571090	37.4783558
3613493423			55.6571611	37.4782903
3613493424			55.6572022	37.4781468
3613493428			55.6572863	37.4788758
3613493429			55.6573247	37.4788167
3613493431			55.6573569	37.4788607
3613493433			55.6574600	37.4787581
3613493434			55.6574771	37.4785428
3613493436			55.6574979	37.4783225
3613493437			55.6575125	37.4783422
3613493438			55.6575280	37.4783771
3613493439			55.6575316	37.4783308
3613493440			55.6575554	37.4787742
3613493441			55.6575643	37.4785471
3613493443			55.6575938	37.4787331
3613493445			55.6576515	37.4786201
